registry_name,function_name,module,subsystem,category,signature,parameter_count,required_parameters,optional_parameters,parameter_types,possible_internal,internal_reason,description,keywords
add,add,math_engine.arithmetic,arithmetic,basic_arithmetic,"(a, b)",2,"a, b",,"bound_or_value, bound_or_value",False,,Add two numbers.,"add, addition, sum, plus, total"
subtract,subtract,math_engine.arithmetic,arithmetic,basic_arithmetic,"(a, b)",2,"a, b",,"bound_or_value, bound_or_value",False,,Subtract one number from another.,"subtract, subtraction, minus, difference"
multiply,multiply,math_engine.arithmetic,arithmetic,basic_arithmetic,"(a, b)",2,"a, b",,"bound_or_value, bound_or_value",False,,Multiply two numbers.,"multiply, multiplication, times, product"
divide,divide,math_engine.arithmetic,arithmetic,basic_arithmetic,"(a, b)",2,"a, b",,"bound_or_value, bound_or_value",False,,Divide one number by another.,"divide, division, quotient, over"
power,power,math_engine.arithmetic,arithmetic,powers_roots,"(base, exponent)",2,"base, exponent",,"numeric_value, unknown",False,,Raise a number to a power.,"power, exponent, raised, squared, cubed"
square_root,square_root,math_engine.arithmetic,arithmetic,powers_roots,(value),1,value,,numeric_value,False,,Calculate the square root of a number.,"square root, sqrt, root"
nth_root,nth_root,math_engine.arithmetic,arithmetic,powers_roots,"(value, n)",2,"value, n",,"numeric_value, integer_or_value",False,,Calculate the nth root of a number.,"nth root, root, cube root"
absolute_value,absolute_value,math_engine.arithmetic,arithmetic,basic_arithmetic,(value),1,value,,numeric_value,False,,Calculate the absolute value of a number.,"absolute value, magnitude"
factorial,factorial,math_engine.arithmetic,arithmetic,integer_operations,(value),1,value,,numeric_value,False,,Calculate the factorial of a nonnegative integer.,factorial
greatest_common_divisor,greatest_common_divisor,math_engine.arithmetic,arithmetic,integer_operations,"(a, b)",2,"a, b",,"bound_or_value, bound_or_value",False,,Find the greatest common divisor of two integers.,"gcd, greatest common divisor, greatest common factor"
least_common_multiple,least_common_multiple,math_engine.arithmetic,arithmetic,integer_operations,"(a, b)",2,"a, b",,"bound_or_value, bound_or_value",False,,Find the least common multiple of two integers.,"lcm, least common multiple"
percentage,percentage,math_engine.arithmetic,arithmetic,percentages,"(part, whole)",2,"part, whole",,"unknown, unknown",False,,Calculate a percentage of a value.,"percentage, percent, of"
percent_change,percent_change,math_engine.arithmetic,arithmetic,percentages,"(original, new)",2,"original, new",,"unknown, unknown",False,,Calculate the percent change between two values.,"percent change, percentage change, increase, decrease"
ratio,ratio,math_engine.arithmetic,arithmetic,ratios_proportions,"(a, b)",2,"a, b",,"bound_or_value, bound_or_value",False,,Simplify a ratio between two values.,"ratio, simplify ratio"
solve_proportion,solve_proportion,math_engine.arithmetic,arithmetic,ratios_proportions,"(a, b, c)",3,"a, b, c",,"bound_or_value, bound_or_value, unknown",False,,Solve a proportional relationship for an unknown.,"proportion, cross multiply, ratio equation"
prime_factorization,prime_factorization,math_engine.arithmetic,arithmetic,integer_operations,(value),1,value,,numeric_value,False,,Find the prime factorization of an integer.,"prime factorization, prime factors, factor"
floor_value,floor_value,math_engine.arithmetic,arithmetic,rounding,(value),1,value,,numeric_value,False,,Calculate the floor of a number.,"floor, round down"
ceiling_value,ceiling_value,math_engine.arithmetic,arithmetic,rounding,(value),1,value,,numeric_value,False,,Calculate the ceiling of a number.,"ceiling, ceil, round up"
round_value,round_value,math_engine.arithmetic,arithmetic,rounding,"(value, digits=0)",2,value,digits,"numeric_value, unknown",False,,Round a value to a specified number of decimal places.,"round, rounded, decimal places"
decimal_value,decimal_value,math_engine.arithmetic,arithmetic,numeric_conversion,"(value, digits=15)",2,value,digits,"numeric_value, unknown",False,,Convert an exact mathematical value to decimal form.,"decimal, approximate, numerical value"
