operation,parameter,type,required,default,override_active,override_type
absolute_extrema,expression,expression,True,None,False,
absolute_extrema,start,number,True,None,True,number
absolute_extrema,end,number,True,None,True,number
absolute_extrema,variable,variable,False,'x',False,
absolute_value,value,number,True,None,False,
acceleration_vector,position_components,list,True,None,False,
acceleration_vector,parameter,variable,False,'t',False,
add,a,number,True,None,False,
add,b,number,True,None,False,
angle_of_depression,vertical_drop,number,True,None,False,
angle_of_depression,horizontal_distance,number,True,None,False,
angle_of_elevation,vertical_height,number,True,None,False,
angle_of_elevation,horizontal_distance,number,True,None,False,
angle_quadrant_degrees,degrees,angle,True,None,False,
annulus_area,outer_radius,number,True,None,False,
annulus_area,inner_radius,number,True,None,False,
antiderivative,expression,expression,True,None,False,
antiderivative,variable,variable,False,'x',False,
arc_length,radius,number,True,None,False,
arc_length,central_angle_degrees,angle,True,None,False,
arccosecant,value,number,True,None,False,
arccosecant,output_unit,string,False,'radians',False,
arccosine,value,number,True,None,False,
arccosine,output_unit,string,False,'radians',False,
arccotangent,value,number,True,None,False,
arccotangent,output_unit,string,False,'radians',False,
arcsecant,value,number,True,None,False,
arcsecant,output_unit,string,False,'radians',False,
arcsine,value,number,True,None,False,
arcsine,output_unit,string,False,'radians',False,
arctangent,value,number,True,None,False,
arctangent,output_unit,string,False,'radians',False,
are_parallel,slope_1,number,True,None,False,
are_parallel,slope_2,number,True,None,False,
are_perpendicular,slope_1,number,True,None,False,
are_perpendicular,slope_2,number,True,None,False,
area_between_curves,upper_function,expression,True,None,False,
area_between_curves,lower_function,expression,True,None,False,
area_between_curves,lower,bounds,True,None,False,
area_between_curves,upper,bounds,True,None,False,
area_between_curves,variable,variable,False,'x',False,
area_under_curve,expression,expression,True,None,False,
area_under_curve,lower,bounds,True,None,False,
area_under_curve,upper,bounds,True,None,False,
area_under_curve,variable,variable,False,'x',False,
average_function_value,expression,expression,True,None,False,
average_function_value,lower,bounds,True,None,False,
average_function_value,upper,bounds,True,None,False,
average_function_value,variable,variable,False,'x',False,
bearing_from_vector,x_component,number,True,None,False,
bearing_from_vector,y_component,number,True,None,False,
bearing_to_direction_angle,bearing,angle,True,None,False,
calculus_arc_length,expression,expression,True,None,False,
calculus_arc_length,lower,bounds,True,None,False,
calculus_arc_length,upper,bounds,True,None,False,
calculus_arc_length,variable,variable,False,'x',False,
calculus_detect_variables,expression,expression,True,None,False,
calculus_parse_expression,expression,expression,True,None,False,
calculus_parse_expression,variables,variable_list,False,None,False,
calculus_parse_variable,variable,variable,False,'x',False,
cartesian_to_polar,x,number,True,None,False,
cartesian_to_polar,y,number,True,None,False,
cartesian_to_polar,angle_unit,string,False,'radians',False,
ceiling_value,value,number,True,None,False,
center_to_chord_distance,radius,number,True,None,False,
center_to_chord_distance,chord,number,True,None,False,
chain_rule,outer_expression,expression,True,None,False,
chain_rule,inner_expression,expression,True,None,False,
chain_rule,outer_variable,variable,False,'u',False,
chain_rule,variable,variable,False,'x',False,
check_antiderivative,integrand,expression,True,None,False,
check_antiderivative,candidate,expression,True,None,False,
check_antiderivative,variable,variable,False,'x',False,
check_derivative,original,number,True,None,False,
check_derivative,candidate_derivative,expression,True,None,False,
check_derivative,variable,variable,False,'x',False,
chord_length,radius,number,True,None,False,
chord_length,distance_from_center,number,True,None,False,
circle_area,radius,number,True,None,False,
circle_center_radius_from_standard,h,number,True,None,False,
circle_center_radius_from_standard,k,number,True,None,False,
circle_center_radius_from_standard,radius_squared,number,True,None,False,
circle_circumference,radius,number,True,None,False,
